"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 23:47:20 GMT 2025","Wed Oct 22 23:47:22 GMT 2025","1774","chromium","login.spec.ts","","","","the user login with success",""
"passed","Wed Oct 22 23:47:23 GMT 2025","Wed Oct 22 23:47:25 GMT 2025","1555","chromium","login.spec.ts","","","","the user inserts wrong credentials",""
"passed","Wed Oct 22 23:47:25 GMT 2025","Wed Oct 22 23:47:26 GMT 2025","1606","chromium","products.spec.ts","","","","validate prefix products name",""
