"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 23 21:22:32 GMT 2025","Thu Oct 23 21:22:32 GMT 2025","37","api-tests","api/tests/booking.spec.ts","Booking API Tests","","","should be able to create a new booking (POST /booking)",""
"passed","Thu Oct 23 21:22:32 GMT 2025","Thu Oct 23 21:22:32 GMT 2025","60","api-tests","api/tests/booking.spec.ts","Booking API Tests","","","should be able to retrieve all bookings (GET /booking)",""
"passed","Thu Oct 23 21:22:25 GMT 2025","Thu Oct 23 21:22:27 GMT 2025","1808","ui-tests","tests/login.spec.ts","","","","the user login with success",""
"passed","Thu Oct 23 21:22:33 GMT 2025","Thu Oct 23 21:22:33 GMT 2025","37","api-tests","api/tests/booking.spec.ts","Booking API Tests","","","should be able to update an existing booking (PUT /booking/{id})",""
"passed","Thu Oct 23 21:22:32 GMT 2025","Thu Oct 23 21:22:33 GMT 2025","35","api-tests","api/tests/booking.spec.ts","Booking API Tests","","","should be able to retrieve the created booking by ID (GET /booking/{id})",""
"passed","Thu Oct 23 21:22:30 GMT 2025","Thu Oct 23 21:22:31 GMT 2025","1613","ui-tests","tests/products.spec.ts","","","","validate prefix products name",""
"passed","Thu Oct 23 21:22:33 GMT 2025","Thu Oct 23 21:22:33 GMT 2025","56","api-tests","api/tests/booking.spec.ts","Booking API Tests","","","should be able to delete an existing booking (DELETE /booking/{id})",""
"passed","Thu Oct 23 21:22:28 GMT 2025","Thu Oct 23 21:22:30 GMT 2025","1522","ui-tests","tests/login.spec.ts","","","","the user inserts wrong credentials",""
