"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 23:28:32 GMT 2025","Wed Oct 22 23:28:34 GMT 2025","1628","chromium","products.spec.ts","","","","validate prefix products name",""
"passed","Wed Oct 22 23:28:28 GMT 2025","Wed Oct 22 23:28:30 GMT 2025","1727","chromium","login.spec.ts","","","","the user login with success",""
"passed","Wed Oct 22 23:28:31 GMT 2025","Wed Oct 22 23:28:32 GMT 2025","1562","chromium","login.spec.ts","","","","the user inserts wrong credentials",""
